"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occ_class_c" "occ_subclass_c" "occupation" "population" "HISCO"
1854" "M" "O" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 20 "89200"
"1030" "Aardwerkers" "D" "25
---
35

1864
  ---
1854" "M" "O" "Haarlem." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/d_/Aardwerkers>" 10 "89200"
"1043" "Aardwerkers" "D" "23
---
24

1866
  ---
1865" "M" "O" "Haarlemmermeer" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlemmermeer/III/d_/Aardwerkers>" 2 "89200"
"1056" "Aardwerkers" "D" "51
---
60

1838
  ---
1829" "M" "O" "Weesp" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/d_/Aardwerkers>" 2 "89200"
"1069" "Aardwerkers" "D" "23
---
24

1866
  ---
1865" "M" "G" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 8 "89200"
"1082" "Aardwerkers" "D" "51
---
60

1838
  ---
1829" "M" "O" "Haarlem." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/d_/Aardwerkers>" 2 "89200"
"1095" "Aardwerkers" "D" "61
---
65

1828
  ---
1824" "M" "O" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 1 "89200"
"1108" "Aardwerkers" "D" "18
---
22

1871
  ---
1867" "M" "G" "Enkhuizen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Enkhuizen/III/d_/Aardwerkers>" 1 "89200"
"1121" "Aardwerkers" "D" "51
---
60

1838
  ---
1829" "M" "G" "Zaandam" "III" "d. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/III/d_/Aardwerkers>" 1 "89200"
"1134" "Aardwerkers" "D" "14
---
15

1875
  ---
1874" "M" "O" "Weesp" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/d_/Aardwerkers>" 1 "89200"
"1147" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "G" "Edam" "III" "d" "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Edam/III/d/Aardwerkers>" 1 "89200"
"1160" "Aardwerkers" "D" "25
---
35

1864
  ---
1854" "M" "G" "Haarlemmermeer" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlemmermeer/III/d_/Aardwerkers>" 2 "89200"
"1173" "Aardwerkers" "D" "25
---
35

1864
  ---
1854" "M" "G" "Zaandam" "III" "d. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/III/d_/Aardwerkers>" 1 "89200"
"1186" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "G" "Enkhuizen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Enkhuizen/III/d_/Aardwerkers>" 2 "89200"
"1199" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "O" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 20 "89200"
"1212" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "O" "Weesp" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/d_/Aardwerkers>" 5 "89200"
"1225" "Aardwerkers" "D" "14
---
15

1875
  ---
1874" "M" "O" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 2 "89200"
"1238" "Aardwerkers" "D" "25
---
35

1864
  ---
1854" "M" "G" "Purmerend" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/III/d_/Aardwerkers>" 7 "89200"
"1251" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "G" "Weesp" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/d_/Aardwerkers>" 8 "89200"
"1264" "Aardwerkers" "D" "18
---
22

1871
  ---
1867" "M" "O" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 30 "89200"
"1277" "Aardwerkers" "D" "25
---
35

1864
  ---
1854" "M" "G" "Texel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Texel/III/d_/Aardwerkers>" 1 "89200"
"1290" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "G" "Haarlemmermeer" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlemmermeer/III/d_/Aardwerkers>" 1 "89200"
"1303" "Aardwerkers" "D" "61
---
65

1828
  ---
1824" "M" "O" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 2 "89200"
"1316" "Aardwerkers" "D" "13


1876" "M" "O" "Haarlem." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/d_/Aardwerkers>" 1 "89200"
"1329" "Aardwerkers" "D" "51
---
60

1838
  ---
1829" "M" "G" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 50 "89200"
"1342" "Aardwerkers" "D" "25
---
35

1864
  ---
1854" "M" "O" "Weesp" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/d_/Aardwerkers>" 10 "89200"
"1355" "Aardwerkers" "D" "51
---
60

1838
  ---
1829" "M" "G" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 50 "89200"
"1368" "Aardwerkers" "D" "66
---
70

1823
---
1818" "M" "G" "Haarlem." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/d_/Aardwerkers>" 5 "89200"
"1381" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "O" "Haarlem." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/d_/Aardwerkers>" 4 "89200"
"1394" "Aardwerkers" "D" "23
---
24

1866
  ---
1865" "M" "G" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 6 "89200"
"1407" "Aardwerkers" "D" "71
en
daarboven

1818
en
vroeger" "M" "G" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 4 "89200"
"1420" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "G" "Texel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Texel/III/d_/Aardwerkers>" 2 "89200"
"1433" "Aardwerkers" "D" "51
---
60

1838
  ---
1829" "M" "O" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 10 "89200"
"1446" "Aardwerkers" "D" "25
---
35

1864
  ---
1854" "M" "G" "Enkhuizen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Enkhuizen/III/d_/Aardwerkers>" 2 "89200"
"1459" "Aardwerkers" "D" "16
---
17

1873
  ---
1872" "M" "O" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 4 "89200"
"1472" "Aardwerkers" "D" "Geboortejaren.  leeftijd in j." "M" "O" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 1 "89200"
"1485" "Aardwerkers" "D" "18
---
22

1871
  ---
1867" "M" "O" "Haarlem." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/d_/Aardwerkers>" 10 "89200"
"1498" "Aardwerkers" "D" "25
---
35

1864
  ---
1854" "M" "O" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 20 "89200"
"1511" "Aardwerkers" "D" "23
---
24

1866
  ---
1865" "M" "O" "Haarlem." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/d_/Aardwerkers>" 8 "89200"
"1524" "Aardwerkers" "D" "13


1876" "M" "O" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 1 "89200"
"1537" "Agenten" "B" "51
---
60

1838
  ---
1829" "M" "G" "Nieuwer Amstel" "XXIII" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XXIII/h_/Agenten>" 5 "43200"
"1538" "Agenten" "B" "51
---
60

1838
  ---
1829" "M" "G" "Nieuwer Amstel" "XXIII" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XXIII/h_/Agenten>" 5 "44120"
"1565" "Agenten" "B" "51
---
60

1838
  ---
1829" "M" "G" "Nieuwer Amstel" "XXIII" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XXIII/h_/Agenten>" 5 "58940"
"1578" "Agenten" "B" "36
---
50

1853
  ---
1839" "M" "G" "X" "XXIII" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/d_/Agenten>" 3 "43200"
"1579" "Agenten" "B" "36
---
50

1853
  ---
1839" "M" "G" "X" "XXIII" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/d_/Agenten>" 3 "44120"
"1606" "Agenten" "B" "36
---
50

1853
  ---
1839" "M" "G" "X" "XXIII" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/d_/Agenten>" 3 "58940"
"1619" "Agenten" "B" "36
---
50

1853
  ---
1839" "V" "O" "X" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/b_/Agenten>" 2 "43200"
"1620" "Agenten" "B" "36
---
50

1853
  ---
1839" "V" "O" "X" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/b_/Agenten>" 2 "44120"
"1647" "Agenten" "B" "36
---
50

1853
  ---
1839" "V" "O" "X" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/b_/Agenten>" 2 "58940"
"1660" "Agenten" "B" "36
---
50

1853
  ---
1839" "M" "G" "X" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/b_/Agenten>" 120 "43200"
"1661" "Agenten" "B" "36
---
50

1853
  ---
1839" "M" "G" "X" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/b_/Agenten>" 120 "44120"
"1688" "Agenten" "B" "36
---
50

1853
  ---
1839" "M" "G" "X" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/b_/Agenten>" 120 "58940"
"1701" "Agenten" "B" "61
---
65

1828
  ---
1824" "M" "G" "X" "XXIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/a_/Agenten>" 1 "43200"
"1702" "Agenten" "B" "61
---
65

1828
  ---
1824" "M" "G" "X" "XXIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/a_/Agenten>" 1 "44120"
"1729" "Agenten" "B" "61
---
65

1828
  ---
1824" "M" "G" "X" "XXIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/a_/Agenten>" 1 "58940"
"1742" "Agenten" "B" "61
---
65

1828
  ---
1824" "M" "G" "Haarlem." "XXIII" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XXIII/c_/Agenten>" 1 "43200"
"1743" "Agenten" "B" "61
---
65

1828
  ---
1824" "M" "G" "Haarlem." "XXIII" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XXIII/c_/Agenten>" 1 "44120"
"1770" "Agenten" "B" "61
---
65

1828
  ---
1824" "M" "G" "Haarlem." "XXIII" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XXIII/c_/Agenten>" 1 "58940"
"1783" "Agenten" "B" "51
---
60

1838
  ---
1829" "M" "G" "X" "XXII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXII/b_/Agenten>" 1 "43200"
"1784" "Agenten" "B" "51
---
60

1838
  ---
1829" "M" "G" "X" "XXII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXII/b_/Agenten>" 1 "44120"
"1811" "Agenten" "B" "51
---
60

1838
  ---
1829" "M" "G" "X" "XXII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXII/b_/Agenten>" 1 "58940"
"1824" "Agenten" "B" "36
---
50

1853
  ---
1839" "M" "G" "Hoorn" "XXIII" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XXIII/c_/Agenten>" 1 "43200"
"1825" "Agenten" "B" "36
---
50

1853
  ---
1839" "M" "G" "Hoorn" "XXIII" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XXIII/c_/Agenten>" 1 "44120"
"1852" "Agenten" "B" "36
---
50

1853
  ---
1839" "M" "G" "Hoorn" "XXIII" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XXIII/c_/Agenten>" 1 "58940"
"1865" "Agenten" "B" "18
---
22

1871
  ---
1867" "M" "O" "X" "XXIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/a_/Agenten>" 1 "43200"
"1866" "Agenten" "B" "18
---
22

1871
  ---
1867" "M" "O" "X" "XXIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/a_/Agenten>" 1 "44120"
"1893" "Agenten" "B" "18
---
22

1871
  ---
1867" "M" "O" "X" "XXIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/a_/Agenten>" 1 "58940"
"1906" "Agenten" "B" "51
---
60

1838
  ---
1829" "M" "G" "Nieuwer Amstel" "XXIII" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XXIII/c_/Agenten>" 2 "43200"
"1907" "Agenten" "B" "51
---
60

1838
  ---
1829" "M" "G" "Nieuwer Amstel" "XXIII" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XXIII/c_/Agenten>" 2 "44120"
"1934" "Agenten" "B" "51
---
60

1838
  ---
1829" "M" "G" "Nieuwer Amstel" "XXIII" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XXIII/c_/Agenten>" 2 "58940"
"1947" "Agenten" "B" "23
---
24

1866
  ---
1865" "M" "O" "X" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/b_/Agenten>" 8 "43200"
"1948" "Agenten" "B" "23
---
24

1866
  ---
1865" "M" "O" "X" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/b_/Agenten>" 8 "44120"
"1975" "Agenten" "B" "23
---
24

1866
  ---
1865" "M" "O" "X" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/b_/Agenten>" 8 "58940"
"1988" "Agenten" "B" "36
---
50

1853
  ---
1839" "V" "G" "X" "XXIII" "h. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/h_/Agenten>" 1 "43200"
"1989" "Agenten" "B" "36
---
50

1853
  ---
1839" "V" "G" "X" "XXIII" "h. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/h_/Agenten>" 1 "44120"
"2016" "Agenten" "B" "36
---
50

1853
  ---
1839" "V" "G" "X" "XXIII" "h. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/h_/Agenten>" 1 "58940"
"2029" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "X" "XXIII" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/f_/Agenten>" 20 "43200"
"2030" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "X" "XXIII" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/f_/Agenten>" 20 "44120"
"2057" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "X" "XXIII" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/f_/Agenten>" 20 "58940"
"2070" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "Nieuwer Amstel" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XXIII/b_/Agenten>" 2 "43200"
"2071" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "Nieuwer Amstel" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XXIII/b_/Agenten>" 2 "44120"
"2098" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "Nieuwer Amstel" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XXIII/b_/Agenten>" 2 "58940"
"2111" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "X" "XXIII" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/c_/Agenten>" 50 "43200"
"2112" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "X" "XXIII" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/c_/Agenten>" 50 "44120"
"2139" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "X" "XXIII" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/c_/Agenten>" 50 "58940"
"2152" "Agenten" "B" "61
---
65

1828
  ---
1824" "M" "G" "X" "XXIII" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/c_/Agenten>" 10 "43200"
"2153" "Agenten" "B" "61
---
65

1828
  ---
1824" "M" "G" "X" "XXIII" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/c_/Agenten>" 10 "44120"
"2180" "Agenten" "B" "61
---
65

1828
  ---
1824" "M" "G" "X" "XXIII" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/c_/Agenten>" 10 "58940"
"2193" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "X" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/b_/Agenten>" 50 "43200"
"2194" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "X" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/b_/Agenten>" 50 "44120"
"2221" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "X" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/b_/Agenten>" 50 "58940"
"2234" "Agenten" "B" "71
en
daarboven

1818
en
vroeger" "V" "G" "Hoorn" "XXII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XXII/a_/Agenten>" 1 "43200"
"2235" "Agenten" "B" "71
en
daarboven

1818
en
vroeger" "V" "G" "Hoorn" "XXII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XXII/a_/Agenten>" 1 "44120"
"2262" "Agenten" "B" "71
en
daarboven

1818
en
vroeger" "V" "G" "Hoorn" "XXII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XXII/a_/Agenten>" 1 "58940"
"2275" "Agenten" "B" "36
---
50

1853
  ---
1839" "M" "O" "X" "XXIII" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/f_/Agenten>" 10 "43200"
"2276" "Agenten" "B" "36
---
50

1853
  ---
1839" "M" "O" "X" "XXIII" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/f_/Agenten>" 10 "44120"
"2303" "Agenten" "B" "36
---
50

1853
  ---
1839" "M" "O" "X" "XXIII" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/f_/Agenten>" 10 "58940"
"2316" "Agenten" "B" "51
---
60

1838
  ---
1829" "M" "G" "Nieuwer Amstel" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XXIII/b_/Agenten>" 1 "43200"
"2317" "Agenten" "B" "51
---
60

1838
  ---
1829" "M" "G" "Nieuwer Amstel" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XXIII/b_/Agenten>" 1 "44120"
"2344" "Agenten" "B" "51
---
60

1838
  ---
1829" "M" "G" "Nieuwer Amstel" "XXIII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XXIII/b_/Agenten>" 1 "58940"
"2357" "Agenten" "B" "36
---
50

1853
  ---
1839" "M" "G" "Enkhuizen" "XXII" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Enkhuizen/XXII/d_/Agenten>" 1 "43200"
"2358" "Agenten" "B" "36
---
50

1853
  ---
1839" "M" "G" "Enkhuizen" "XXII" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Enkhuizen/XXII/d_/Agenten>" 1 "44120"
"2385" "Agenten" "B" "36
---
50

1853
  ---
1839" "M" "G" "Enkhuizen" "XXII" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Enkhuizen/XXII/d_/Agenten>" 1 "58940"
"2398" "Agenten" "B" "66
---
70

1823
---
1818" "M" "G" "Purmerend" "XXII" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/XXII/d_/Agenten>" 1 "43200"
"2399" "Agenten" "B" "66
---
70

1823
---
1818" "M" "G" "Purmerend" "XXII" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/XXII/d_/Agenten>" 1 "44120"
"2426" "Agenten" "B" "66
---
70

1823
---
1818" "M" "G" "Purmerend" "XXII" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/XXII/d_/Agenten>" 1 "58940"
"2439" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "X" "XXIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/a_/Agenten>" 3 "43200"
"2440" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "X" "XXIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/a_/Agenten>" 3 "44120"
"2467" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "X" "XXIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/a_/Agenten>" 3 "58940"
"2480" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "O" "X" "XXII" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXII/d_/Agenten>" 4 "43200"
"2481" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "O" "X" "XXII" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXII/d_/Agenten>" 4 "44120"
"2508" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "O" "X" "XXII" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXII/d_/Agenten>" 4 "58940"
"2521" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "X" "XXIII" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/d_/Agenten>" 6 "43200"
"2522" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "X" "XXIII" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/d_/Agenten>" 6 "44120"
"2549" "Agenten" "B" "25
---
35

1864
  ---
1854" "M" "G" "X" "XXIII" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/d_/Agenten>" 6 "58940"
"2562" "Agenten" "B" "66
---
70

1823
---
1818" "M" "G" "X" "XXIII" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/f_/Agenten>" 2 "43200"
"2563" "Agenten" "B" "66
---
70

1823
---
1818" "M" "G" "X" "XXIII" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/f_/Agenten>" 2 "44120"
"2590" "Agenten" "B" "66
---
70

1823
---
1818" "M" "G" "X" "XXIII" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/f_/Agenten>" 2 "58940"
"2603" "Agenten" "B" "51
---
60

1838
  ---
1829" "M" "G" "X" "XXIII" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XXIII/a_/Agenten>" 4 "43200"
"2604" "Agenten" "B" "51
---
60

1838
  ---
