"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occ_class_c" "occ_subclass_c" "occupation" "population" "HISCO"
1839" "M" "G" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aardewerkers>" 10 "89200"
"476" "Aardewerkers" "D" "18
---
22

1871
  ---
1867" "M" "G" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aardewerkers>" 2 "89200"
"478" "Aardewerkers" "D" "66
---
70

1823
---
1818" "M" "G" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aardewerkers>" 1 "89200"
"480" "Aardewerkers" "D" "25
---
35

1864
  ---
1854" "M" "O" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aardewerkers>" 3 "89200"
"482" "Aardewerkers" "D" "61
---
65

1828
  ---
1824" "M" "G" "Alkmaar." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/III/d_/Aardewerkers>" 1 "89200"
"484" "Aardwerkers" "D" "61
---
65

1828
  ---
1824" "M" "G" "Haarlem." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/d_/Aardwerkers>" 10 "89200"
"497" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "G" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 100 "89200"
"510" "Aardwerkers" "D" "61
---
65

1828
  ---
1824" "M" "G" "Zaandam" "III" "d. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/III/d_/Aardwerkers>" 1 "89200"
"523" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "O" "Sloten" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Sloten/III/d_/Aardwerkers>" 1 "89200"
"536" "Aardwerkers" "D" "61
---
65

1828
  ---
1824" "M" "G" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 10 "89200"
"549" "Aardwerkers" "D" "18
---
22

1871
  ---
1867" "M" "G" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 3 "89200"
"562" "Aardwerkers" "D" "25
---
35

1864
  ---
1854" "M" "G" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 60 "89200"
"575" "Aardwerkers" "D" "23
---
24

1866
  ---
1865" "M" "O" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 10 "89200"
"588" "Aardwerkers" "D" "25
---
35

1864
  ---
1854" "M" "G" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 80 "89200"
"601" "Aardwerkers" "D" "66
---
70

1823
---
1818" "M" "G" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 8 "89200"
"614" "Aardwerkers" "D" "18
---
22

1871
  ---
1867" "M" "O" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 20 "89200"
"627" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "G" "Hilversum" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hilversum/III/d_/Aardwerkers>" 1 "89200"
"640" "Aardwerkers" "D" "66
---
70

1823
---
1818" "M" "G" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 7 "89200"
"653" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "O" "Haarlemmermeer" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlemmermeer/III/d_/Aardwerkers>" 1 "89200"
"666" "Aardwerkers" "D" "23
---
24

1866
  ---
1865" "M" "O" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 10 "89200"
"679" "Aardwerkers" "D" "18
---
22

1871
  ---
1867" "M" "O" "Zaandam" "III" "d. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/III/d_/Aardwerkers>" 1 "89200"
"692" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "O" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 10 "89200"
"705" "Aardwerkers" "D" "16
---
17

1873
  ---
1872" "M" "O" "Haarlem." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/d_/Aardwerkers>" 5 "89200"
"718" "Aardwerkers" "D" "71
en
daarboven

1818
en
vroeger" "M" "G" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 2 "89200"
"731" "Aardwerkers" "D" "16
---
17

1873
  ---
1872" "M" "O" "Weesp" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/d_/Aardwerkers>" 2 "89200"
"744" "Aardwerkers" "D" "61
---
65

1828
  ---
1824" "M" "G" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 6 "89200"
"757" "Aardwerkers" "D" "51
---
60

1838
  ---
1829" "M" "O" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 2 "89200"
"770" "Aardwerkers" "D" "36
---
50

1853
  ---
1839" "M" "G" "Zaandam" "III" "d. " "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/III/d_/Aardwerkers>" 3 "89200"
"783" "Aardwerkers" "D" "25
---
35

1864
  ---
1854" "M" "G" "Haarlem." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/d_/Aardwerkers>" 20 "89200"
"796" "Aardwerkers" "D" "18
---
22

1871
  ---
1867" "M" "G" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 3 "89200"
"809" "Aardwerkers" "D" "66
---
70

1823
---
1818" "M" "O" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 1 "89200"
"822" "Aardwerkers" "D" "51
---
60

1838
  ---
1829" "M" "G" "Weesp" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/d_/Aardwerkers>" 8 "89200"
"835" "Aardwerkers" "D" "25
---
35

1864
  ---
1854" "M" "G" "Weesp" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Weesp/III/d_/Aardwerkers>" 7 "89200"
"848" "Aardwerkers" "D" "71
en
daarboven

1818
en
vroeger" "M" "G" "Haarlem." "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/d_/Aardwerkers>" 3 "89200"
"861" "Aardwerkers" "D" "16
---
17

1873
  ---
1872" "M" "O" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aardwerkers>" 20 "89200"
"874" "Aardwerkers" "D" "66
---
70

1823
---
1818" "M" "O" "Amsterdam" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/d_/Aardwerkers>" 1 "89200"
"887" "Aardwerkers" "D" "18
---
22

1871
