ID;BEROEP;ALTBEROEP;POSITIE;HISCO;STATUS;REL
233;Fabricage van matten.;fabricage van matten;A;21110;;
234;Fabricage van matten.;fabricage van matten;D;94290;;
235;Fabricage van matten stoelen;fabricage van matten stoelen;D;81120;;
236;Fabricage van penseelen;fabricage van penseelen;A;21110;;
237;Fabricage van rieten matten;fabricage van rieten matten;D;94290;;
238;Fabricage van rieten meubelen;fabricage van rieten meubelen;A;21110;;
239;Fabricage van rieten meubelen;fabricage van rieten meubelen;D;94250;;
240;Fabricage van stroohoeden;fabricage van stroohoeden;A;21110;;
241;Fabricage van stroohoeden;fabricage van stroohoeden;C;79390;;
242;Fabricage van stroohoeden;fabricage van stroohoeden;D;79390;;
243;Fabricage van stroowaren;fabricage van stroowaren;D;94990;;
244;Stoelenmatters;stoelenmatters;D;94250;;
245;Zevanmakers;zevanmakers;A;94990;;
246;Zevanmakers;zevanmakers;D;94990;;
247;snij- en draaiwerk van verschillende stoffen. ;snij en draaiwerk van verschillende stoffen;;;;
248;Billardmakers;billardmakers;A;81190;;
249;Billardmakers;billardmakers;D;81190;;
250;Draaiers (hout-, been-, ivoor- enz).;draaiers hout been ivoor enz;A;81230;;
251;Draaiers (hout-, been-, ivoor- enz).;draaiers hout been ivoor enz;D;81230;;
252;Fabricage van galanteriewaren;fabricage van galanteriewaren;D;94990;;
253;Fabricage van ivoorartikelen;fabricage van ivoorartikelen;A;21110;;
254;Fabricage van ivoorartikelen;fabricage van ivoorartikelen;D;81190;;
255;Fabricage kunsttanden;fabricage kunsttanden;A;21110;;
256;Fabricage kunsttanden;fabricage kunsttanden;C;84250;;
257;Fabricage kunsttanden;fabricage kunsttanden;D;84250;;
258;Fabricage van speelgoed;fabricage van speelgoed;A;21110;;
259;Fineerzagers;fineerzagers;A;73240;;
260;Fineerzagers;fineerzagers;D;73240;;
261;Houtsnijders;houtsnijders;D;81945;;
262;Vogelkooimakers;vogelkooimakers;D;83990;;
263;Totaal voor V;totaal voor v;A;;;
264;Totaal voor V;totaal voor v;B;;;
265;Totaal voor V;totaal voor v;C;;;
266;Totaal voor V;totaal voor v;D;;;
267;Totaal voor groepV;totaal voor groepv;;;;
268;Kleeding en reiniging.;kleeding en reiniging;;;;
269;Kleeding, bedden, haarwerk;kleeding bedden haarwerk;;;;
270;Costumiers (makers van costumen);costumiers makers van costumen;A;79510;;
271;Coupeurs en coupeuses;coupeurs en coupeuses;C;79420;;
272;Dameskleedingmakers;dameskleedingmakers;A;79140;;
273;Dameskleedingmakers;dameskleedingmakers;D;79140;;
274;Fabricage van bedden en matrassen;fabricage van bedden en matrassen;A;21110;;
275;Fabricage van bedden en matrassen;fabricage van bedden en matrassen;D;81120;;
276;Fabricage van bedveeren;fabricage van bedveeren;A;21110;;
277;Fabricage van bedveeren;fabricage van bedveeren;D;83990;;
278;Fabricage van corsetten;fabricage van corsetten;A;21110;;
279;Fabricage van corsetten;fabricage van corsetten;B;21110;;
280;Fabricage van corsetten;fabricage van corsetten;D;79190;;
281;Fabricage van dekkens;fabricage van dekkens;A;21110;;
282;Fabricage van dekkens;fabricage van dekkens;D;79590;;
283;Fabricage van hemden boorden;fabricage van hemden boorden;A;21110;;
284;Fabricage van hoeden en petten;fabricage van hoeden en petten;A;21110;;
285;Fabricage van hoeden en petten;fabricage van hoeden en petten;C;79310;;
286;Fabricage van hoeden en petten;fabricage van hoeden en petten;D;79310;;
287;Fabricage van kunsthaarwerk;fabricage van kunsthaarwerk;A;21110;;
288;Fabricage van kunsthaarwerk;fabricage van kunsthaarwerk;C;94990;;
289;Fabricage van parapluien;fabricage van parapluien;A;21110;;
290;Fabricage van parapluien;fabricage van parapluien;D;79930;;
291;Haarwerkers;haarwerkers;A;57025;32;
292;Haarwerkers;haarwerkers;D;57025;32;
293;Hoedenmakers;hoedenmakers;A;79310;;
294;Hoedenmakers;hoedenmakers;D;79310;;
295;Hoedenvormers;hoedenvormers;A;79310;;
296;Hoedenvormers;hoedenvormers;D;79310;;
297;Kleermakers;kleermakers;A;79100;;
298;Kleermakers;kleermakers;B;79100;;
299;Kleermakers;kleermakers;C;79100;;
300;Kleermakers;kleermakers;D;79100;;
301;Modisten;modisten;A;79510;;
302;Modisten;modisten;B;79510;;
303;Modisten;modisten;D;79510;;
304;Mutsenmaaksters;mutsenmaaksters;A;79390;;
305;Mutsenmaaksters;mutsenmaaksters;D;79390;;
306;Naaisters;naaisters;A;79510;;
307;Naaisters;naaisters;B;79510;;
308;Naaisters;naaisters;D;79510;;
309;Plisseerders;plisseerders;A;56070;;
310;Bad- en zweminrichtingen;bad en zweminrichtingen;B;;;
311;Bladhouders;bladhouders;A;51090;11;
312;Bladhouders;bladhouders;B;51090;11;
313;Bladhouders;bladhouders;C;51090;11;
314;Bladhouders;bladhouders;D;51090;11;
315;Barbiers;barbiers;A;57030;;
316;Barbiers;barbiers;D;57030;;
317;Bleekers;bleekers;A;56010;;
318;Bleekers;bleekers;C;56010;;
319;Bleekers;bleekers;D;56010;;
320;Dekenwasschers;dekenwasschers;D;75635;;
321;Handschoenenwasschers;handschoenenwasschers;A;56090;;
322;Kappers;kappers;A;57025;;
323;Kappers;kappers;B;57025;;
324;Kappers;kappers;D;57025;;
325;Mangelieden;mangelieden;A;56090;;
326;Mutsenwasschers;mutsenwasschers;A;75635;;
327;Mutsenwasschers;mutsenwasschers;D;75635;;
328;Schoenpoetsers;schoenpoetsers;A;56090;;
329;Schoenpoetsers;schoenpoetsers;D;56090;;
330;Stoffenververs;stoffenververs;A;75625;;
331;Stoffenververs;stoffenververs;D;75625;;
332;Strijksters;strijksters;A;56070;;
333;Strijksters;strijksters;D;56070;;
334;Tapijtkloppers;tapijtkloppers;A;56090;;
335;Tapijtkloppers;tapijtkloppers;D;56090;;
336;Waschlieden;waschlieden;A;56010;;
337;Waschlieden;waschlieden;D;56010;;
338;Versiering.;versiering;;;;
339;Fabricage van handschoenen;fabricage van handschoenen;A;21110;;
340;Fabricage van handschoenen;fabricage van handschoenen;D;80310;;
341;Fabricage van militaire ornament;fabricage van militaire ornament;A;21110;;
342;Totaal voor VI;totaal voor vi;A;;;
343;Totaal voor VI;totaal voor vi;B;;;
344;Totaal voor VI;totaal voor vi;C;;;
345;Totaal voor VI;totaal voor vi;D;;;
346;Totaal voor groep VI;totaal voor groep vi;;;;
347;Kunstnijverheid.;kunstnijverheid;;;;
348;Beeld- en aardewerk.;beeld en aardewerk;;;;
349;Beeldengieters;beeldengieters;A;72420;;
350;Beeldengieters;beeldengieters;D;72420;;
351;Beeldhouwers;beeldhouwers;A;16120;;
352;Beeldhouwers;beeldhouwers;D;16120;;
353;Krammers van aardewerk;krammers van aardewerk;A;89290;;
354;Reparateurs van antiequiteiten;reparateurs van antiequiteiten;A;16160;;
355;Schilderwerk.;schilderwerk;;;;
356;Glasschilders;glasschilders;A;89520;;
357; Metaalwerk, enz. ;metaalwerk enz;;;;
358;Cachetsnijders;cachetsnijders;A;81945;;
359;Graveurs;graveurs;A;89420;;
360;Graveurs;graveurs;C;89420;;
361;Graveurs;graveurs;D;89420;;
362;Ornamentmaker;ornamentmaker;A;16190;;
363;Ornamentmaker;ornamentmaker;D;16190;;
364;Naaldwerk en andere.;naaldwerk en andere;;;;
365;Borduurster;borduurster;A;79565;;
366;Borduurster;borduurster;D;79565;;
367;Borduurwerkers;borduurwerkers;A;79565;32;
368;Borduurwerkers;borduurwerkers;D;79565;32;
369;Fabricage van kunstbloemen;fabricage van kunstbloemen;A;21110;;
370;Fabricage van kunstbloemen;fabricage van kunstbloemen;D;94990;;
371;Kantwerkster;kantwerkster;A;75452;32;
372;Opzetters van vogels;opzetters van vogels;A;94920;;
373;Totaal voor VII;totaal voor vii;A;;;
374;Totaal voor VII;totaal voor vii;B;;;
375;Totaal voor VII;totaal voor vii;C;;;
376;Totaal voor VII;totaal voor vii;D;;;
377;Totaal voor groep VII;totaal voor groep vii;;;;
378;Leder,wasdoek, caoutehoue, enz.;leder wasdoek caoutehoue enz;;;;
379;Leder,wasdoek, caoutehoue, enz.;leder wasdoek caoutehoue enz;;;;
380;Fabricage van drijfriemen;fabricage van drijfriemen;D;84100;;
381;Fabricage van lederwaren;fabricage van lederwaren;A;21110;;
382;Fabricage van lederwaren;fabricage van lederwaren;B;21110;;
383;Fabricage van lederwaren;fabricage van lederwaren;D;80310;;
384;Fabricage van schoenen (schoenmakers);fabricage van schoenen schoenmakers;A;21110;;
385;Fabricage van schoenen (schoenmakers);fabricage van schoenen schoenmakers;B;21110;;
386;Fabricage van schoenen (schoenmakers);fabricage van schoenen schoenmakers;C;80200;;
387;Fabricage van schoenen (schoenmakers);fabricage van schoenen schoenmakers;D;80200;;
388;Koffermakers;koffermakers;A;80310;;
389;Koffermakers;koffermakers;D;80310;;
390;Leerlooiers;leerlooiers;A;76145;;
391;Leerlooiers;leerlooiers;D;76145;;
392;Huidenzouters;huidenzouters;A;76290;;
393;Huidenzouters;huidenzouters;D;76290;;
394;Zadelmakers;zadelmakers;A;80320;;
395;Zadelmakers;zadelmakers;B;80320;;
396;Zadelmakers;zadelmakers;C;80320;;
397;Zadelmakers;zadelmakers;D;80320;;
398;Wasdoek en caoutchouc.;wasdoek en caoutchouc;;;;
399;Fabricage van caoutchoucwaren;fabricage van caoutchoucwaren;A;21110;;
400;Fabricage van caoutchoucwaren;fabricage van caoutchoucwaren;C;90100;;
401;Fabricage van caoutchoucwaren;fabricage van caoutchoucwaren;D;90100;;
402;Totaal voor VIII;totaal voor viii;A;;;
403;Totaal voor VIII;totaal voor viii;B;;;
404;Totaal voor VIII;totaal voor viii;C;;;
405;Totaal voor VIII;totaal voor viii;D;;;
406;Totaal voor groep VIII;totaal voor groep viii;;;;
