"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occupation" "population" "HISCO"
1838 - 1834" "VROUWEN" "G." "Bussum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"624" "Afwerken van huizen" "A" "61 - 65
1838 - 1834" "MANNEN" "G." "Velzen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 2 "95000"
"641" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Velzen" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 7 "95000"
"658" "Afwerken van huizen" "A" "61 - 65
1838 - 1834" "MANNEN" "G." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"675" "Afwerken van huizen" "A" "36 - 50
1863 - 1849" "MANNEN" "O." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 2 "95000"
"692" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Alkmaar" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 9 "95000"
"709" "Afwerken van huizen" "A" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Hilversum" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"726" "Afwerken van huizen" "A" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"743" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Wormerveer" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 2 "95000"
"760" "Afwerken van huizen" "A" "51 - 60
1848 - 1839" "VROUWEN" "G." "Purmerend" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"777" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Texel" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 2 "95000"
"794" "Afwerken van huizen" "A" "23 - 35
1876 - 1864" "MANNEN" "O." "Edam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"811" "Afwerken van huizen" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Edam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Afwerken_van_huizen>" 1 "95000"
"828" "Afwerken van huizen" "A" "36 - 50
